flight_no,origin,destination,dep_time,arr_time,op_days
JAL2301,ITM,MYJ,09:25,10:10,1111111
JAL2309,ITM,MYJ,16:25,17:10,1111111
JAL2300,MYJ,ITM,10:40,11:30,1111111
JAL2310,MYJ,ITM,19:05,20:00,1111111
JAL2371,ITM,NGS,07:05,08:20,1111111
JAL2373,ITM,NGS,11:20,12:35,1111111
JAL2375,ITM,NGS,13:00,14:15,1111111
JAL2377,ITM,NGS,17:20,18:35,1111111
JAL2372,NGS,ITM,08:55,10:05,1111111
JAL2374,NGS,ITM,13:05,14:15,1111111
JAL2376,NGS,ITM,14:45,15:55,1111111
JAL2378,NGS,ITM,19:10,20:25,1111111
JAL2383,ITM,KMJ,07:30,08:40,1111111
JAL2385,ITM,KMJ,10:20,11:30,1111111
JAL2387,ITM,KMJ,13:55,15:05,1111111
JAL2389,ITM,KMJ,17:25,18:35,1111111
JAL2382,KMJ,ITM,09:20,10:25,1111111
JAL2386,KMJ,ITM,12:00,13:05,1111111
JAL2388,KMJ,ITM,15:35,16:40,1111111
JAL2392,KMJ,ITM,19:05,20:20,1111111
JAL2431,ITM,KMI,07:10,08:15,1111111
JAL2433,ITM,KMI,10:40,11:45,1111111
JAL2439,ITM,KMI,16:30,17:30,1111111
JAL2443,ITM,KMI,17:35,18:35,1111111
JAL2445,ITM,KMI,19:55,20:55,1111111
JAL2430,KMI,ITM,07:35,08:40,1111111
JAL2432,KMI,ITM,08:45,09:50,1111111
JAL2434,KMI,ITM,12:15,13:20,1111111
JAL2440,KMI,ITM,18:05,19:20,1111111
JAL2444,KMI,ITM,19:05,20:20,1111111
JAL2401,ITM,KOJ,07:05,08:20,1111111
JAL2405,ITM,KOJ,09:20,10:35,1111111
JAL2407,ITM,KOJ,11:00,12:15,1111111
JAL2409,ITM,KOJ,15:15,16:25,1111111
JAL2411,ITM,KOJ,16:20,17:25,1111111
JAL2415,ITM,KOJ,17:25,18:35,1111111
JAL2419,ITM,KOJ,20:05,21:15,1111111
JAL2400,KOJ,ITM,07:35,08:45,1111111
JAL2402,KOJ,ITM,08:55,10:05,1111111
JAL2406,KOJ,ITM,11:10,12:20,1111111
JAL2408,KOJ,ITM,12:50,14:00,1111111
JAL2410,KOJ,ITM,14:45,15:55,1111111
JAL2412,KOJ,ITM,18:05,19:15,1111111
JAL2414,KOJ,ITM,19:10,20:30,1111111
JAL2051,ITM,FUK,07:20,08:30,1111111
JAL2053,ITM,FUK,09:55,11:10,1111111
JAL2057,ITM,FUK,13:10,14:25,1111111
JAL2061,ITM,FUK,19:50,21:10,1111111
JAL2050,FUK,ITM,07:50,08:50,1111111
JAL2056,FUK,ITM,15:00,16:15,1111111
JAL2058,FUK,ITM,15:55,17:00,1111111
JAL2060,FUK,ITM,19:00,20:15,1111111
JAL2001,ITM,CTS,07:40,09:30,1111111
JAL2005,ITM,CTS,11:45,13:35,1111111
JAL2007,ITM,CTS,12:55,14:40,1111111
JAL2009,ITM,CTS,15:15,17:00,1111111
JAL2019,ITM,CTS,18:40,20:25,1111111
JAL2000,CTS,ITM,09:00,10:50,1111111
JAL2004,CTS,ITM,12:05,13:55,1111111
JAL2008,CTS,ITM,15:15,17:05,1111111
JAL2010,CTS,ITM,15:55,17:45,1111111
JAL2016,CTS,ITM,17:45,19:40,1111111
JTA551,OKA,MMY,07:15,08:10,1111111
RAC801,OKA,MMY,08:00,08:50,1111111
JTA557,OKA,MMY,10:40,11:30,1111111
JTA559,OKA,MMY,11:40,12:30,1111111
JTA563,OKA,MMY,14:25,15:15,1111111
JTA565,OKA,MMY,15:30,16:20,1111111
JTA571,OKA,MMY,16:35,17:25,1111111
JTA573,OKA,MMY,18:00,18:50,1111111
JTA552,MMY,OKA,08:50,09:45,1111111
JTA556,MMY,OKA,10:45,11:40,1111111
JTA558,MMY,OKA,12:10,13:05,1111111
JTA560,MMY,OKA,13:10,14:10,1111111
JTA562,MMY,OKA,15:55,16:50,1111111
JTA564,MMY,OKA,17:00,17:50,1111111
JTA572,MMY,OKA,18:05,19:00,1111111
RAC804,MMY,OKA,20:00,20:55,1111111
JTA601,OKA,ISG,07:15,08:15,1111111
JTA605,OKA,ISG,09:55,10:50,1111111
JTA609,OKA,ISG,12:25,13:25,1111111
JTA617,OKA,ISG,14:50,15:45,1111111
JTA621,OKA,ISG,17:30,18:30,1111111
JTA625,OKA,ISG,18:15,19:10,1111111
JTA600,ISG,OKA,08:55,10:00,1111111
JTA608,ISG,OKA,11:30,12:35,1111111
JTA612,ISG,OKA,13:10,14:15,1111111
JTA614,ISG,OKA,14:05,15:10,1111111
JTA622,ISG,OKA,16:25,17:30,1111111
JTA626,ISG,OKA,18:40,19:45,1111111
JTA042,OKA,NGO,12:00,14:10,1111111
JTA044,OKA,NGO,15:55,18:00,1111111
JTA046,OKA,NGO,20:00,22:05,1111111
JTA045,NGO,OKA,08:40,11:00,1111111
JTA047,NGO,OKA,15:00,17:15,1111111
JTA049,NGO,OKA,18:55,21:10,1111111
JTA002,OKA,KIX,07:10,09:05,1111111
JTA004,OKA,KIX,11:15,13:20,1111111
JAL2084,OKA,ITM,12:00,13:55,1111111
JTA008,OKA,KIX,17:20,19:20,1111111
JAL2088,OKA,ITM,18:00,19:55,1111111
JAL2081,ITM,OKA,08:20,10:30,1111111
JTA001,KIX,OKA,08:20,10:30,1111111
JTA005,KIX,OKA,14:05,16:15,1111111
JAL2087,ITM,OKA,14:50,16:55,1111111
JTA009,KIX,OKA,20:15,22:25,1111111
